,5,8,10,15
C,0.9967066193076164,3.1284565824199992,1.9581026069459329,0.9790314172242746
SNV,False,False,False,False
epsilon,1.0448596253581814,4.393003498674342,0.2265451365522267,3.8623481474133743
kernel,linear,linear,linear,linear
log1op,True,True,True,False
savgol,True,True,True,True
savgol__deriv,2.0,1.0,2.0,2.0
savgol__polyorder,3.0,3.0,3.0,3.0
savgol__window_length,16.0,16.0,10.0,10.0
trimmer__wavemax,1344.0,1348.0,1420.0,1350.0
trimmer__wavemin,1166.0,1012.0,1168.0,1034.0
RMSE CV train,5.322747576021385,4.870218906942594,4.733708330190973,4.514718066467461
RMSE test,5.15024465276481,4.587869821135675,4.818738102110856,4.720415591341994
R2 CV train,0.6139686132789539,0.6768174971772265,0.6946809759313588,0.7222768100958015
R2 test,0.6699851629560056,0.7381214552827251,0.7111020952891223,0.7227712810177888
