,5,8,10,15
SNV,False,False,False,False
alpha,0.8330791482189774,0.11090735321395331,0.11184621777746703,0.08324357232710101
l1_ratio,0.97539510944777,0.6064998476824021,0.9066180604116012,0.5265271279041669
log1op,True,False,True,False
savgol,True,True,True,True
savgol__deriv,2.0,2.0,1.0,2.0
savgol__polyorder,3.0,3.0,3.0,2.0
savgol__window_length,16.0,8.0,10.0,10.0
trimmer__wavemax,1350.0,1342.0,1352.0,1358.0
trimmer__wavemin,1164.0,1034.0,962.0,1032.0
RMSE CV train,5.287613999472084,4.8000228985541895,4.744683013848449,4.498239384821569
RMSE test,5.043476622926649,4.886138017337227,4.625921863050366,4.66664854963321
R2 CV train,0.6190479081010417,0.6860666216947051,0.6932636245810843,0.7243004845978711
R2 test,0.6835261938634509,0.7029639190195389,0.7337593705105999,0.7290507608979695
